Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus anderseni
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Stempellinella	Stempellinella fimbriata
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paratanytarsus	Paratanytarsus abiskoensis
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cryptochironomus	Cryptochironomus psittacinus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Polypedilum	Polypedilum simulans
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cryptochironomus	Cryptochironomus sorex
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus striatulus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	Chironomus intersectus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus lestagei
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Pseudosmittia	Pseudosmittia nanseni
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus occultus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paraphaenocladius	Paraphaenocladius impensus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Limnophyes	Limnophyes asquamatus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladius	Orthocladius oliveri
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Heterotrissocladius	Heterotrissocladius changi
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paraphaenocladius	Paraphaenocladius exagitans
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Limnophyes	Limnophyes schnelli
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Limnophyes	Limnophyes minimus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Pseudorthocladius	Pseudorthocladius curtistylus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Heterotrissocladius	Heterotrissocladius subpilosus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladius	Orthocladius dorenus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Psectrocladius	Psectrocladius limbatellus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paraphaenocladius	Paraphaenocladius nasthecus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Psectrocladius	Psectrocladius conjungens
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Psectrocladius	Psectrocladius barbimanus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Limnophyes	Limnophyes natalensis
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladius	Orthocladius smolandicus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Limnophyes	Limnophyes pumilio
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladius	Orthocladius dubitatus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Metriocnemus	Metriocnemus intergerivus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Rheocricotopus	Rheocricotopus robacki
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Metriocnemus	Metriocnemus eurynotus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Thienemanniella	Thienemanniella xena
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Metriocnemus	Metriocnemus brusti
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Camptocladius	Camptocladius brachytomus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Smittia	Smittia edwardsi
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Thienemanniella	Thienemanniella lobapodema
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Smittia	Smittia aterrima
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Smittia	Smittia stercoraria
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladius	Orthocladius oblidens
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Nanocladius	Nanocladius anderseni
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	Cricotopus sylvestris
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tokunagaia	Tokunagaia obriaini
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Parametriocnemus	Parametriocnemus boreoalpina
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladius	Orthocladius wiensi
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladius	Orthocladius decoratus
